FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
soborot_superbee_square_wave_128_1mesh.fds,101.841, 9.702E+01,16384,447,13
soborot_charm_square_wave_16.fds,0.241, 1.754E-01,256,55,0
soborot_charm_square_wave_32.fds,1.492, 1.386E+00,1024,111,12
soborot_charm_square_wave_64.fds,11.486, 1.103E+01,4096,223,12
soborot_charm_cos_wave_16.fds,0.244, 1.942E-01,256,55,0
soborot_charm_cos_wave_32.fds,1.168, 1.071E+00,1024,111,9
soborot_charm_cos_wave_64.fds,11.982, 1.153E+01,4096,223,12
soborot_superbee_cos_wave_16.fds,0.237, 1.866E-01,256,55,0
soborot_superbee_cos_wave_32.fds,1.194, 1.082E+00,1024,111,9
soborot_superbee_cos_wave_64.fds,12.719, 1.225E+01,4096,223,13
soborot_mp5_cos_wave_16.fds,0.220, 1.780E-01,256,55,0
soborot_mp5_cos_wave_32.fds,1.175, 1.088E+00,1024,111,9
soborot_mp5_cos_wave_64.fds,11.666, 1.124E+01,4096,223,12
race_test_1.fds,290.558, 2.836E+02,84,958,3524
race_test_4.fds,266.779, 2.586E+02,84,958,3213
openmp_test64a.fds,1433.737, 1.420E+03,262144,900,6
openmp_test64b.fds,1135.342, 1.122E+03,262144,900,4
openmp_test64c.fds,961.652, 9.498E+02,262144,900,4
openmp_test64d.fds,798.236, 7.869E+02,262144,900,3
openmp_test64e.fds,713.120, 7.034E+02,262144,900,2
openmp_test64f.fds,647.829, 6.383E+02,262144,900,2
openmp_test64g.fds,724.600, 7.137E+02,262144,900,3
openmp_test64h.fds,687.499, 6.766E+02,262144,900,2
openmp_test128a.fds,679.780, 5.866E+02,2097152,81,3
openmp_test128b.fds,493.901, 4.252E+02,2097152,81,2
openmp_test128c.fds,428.161, 3.596E+02,2097152,81,2
openmp_test128d.fds,380.298, 3.156E+02,2097152,81,1
openmp_test128e.fds,360.846, 2.966E+02,2097152,81,1
openmp_test128f.fds,392.823, 3.219E+02,2097152,81,1
openmp_test128g.fds,360.385, 2.998E+02,2097152,81,1
openmp_test128h.fds,347.473, 2.790E+02,2097152,81,1
csmag0_32.fds,9.653, 8.920E+00,32768,46,5
csmag_32.fds,6.849, 6.085E+00,32768,28,6
