FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
reactionrate_arrhenius_0order_1step.fds,19.410, 1.337E+01,64,900,232
reactionrate_arrhenius_2order_1step.fds,5.808, 1.011E+00,512,100,19
reactionrate_arrhenius_1p75order_2step.fds,7.024, 2.243E+00,512,200,21
reactionrate_arrhenius_1p75order_2stepr.fds,7.439, 2.490E+00,512,200,24
reactionrate_arrhenius_equilibrium.fds,32.731, 3.214E+01,16,900,2231
reactionrate_EDC_1step_CH4_nonmix.fds,11.645, 1.113E+01,100,900,123
reactionrate_EDC_flim_1step_C3H8.fds,1.878, 1.370E+00,512,200,13
reactionrate_EDC_flim_1step_CH4.fds,2.156, 1.647E+00,512,200,16
reactionrate_EDC_flim_2step.fds,5.888, 1.093E-01,16,100,0
reactionrate_EDC_O2lim_1step.fds,5.034, 1.708E-01,512,20,0
reactionrate_EDC_O2lim_2fuel_prim.fds,5.651, 1.190E-01,16,100,0
reactionrate_EDC_O2lim_2fuel_lump.fds,4.699, 9.076E-02,16,100,0
reactionrate_fast_slow.fds,221.298, 2.165E+02,8000,999,27
reactionrate_lumped_two_air.fds,4.703, 8.698E-02,16,100,0
reactionrate_lumped_two_air_2.fds,4.682, 1.173E-01,16,100,0
reactionrate_series_reaction.fds,4.689, 6.941E-03,16,2,0
pvc_combustion.fds,4.727, 1.445E-01,16,200,0
hrrpuv_reac_simple.fds,330.376, 3.201E+02,100000,315,10
hrrpuv_reac_extinction.fds,319.921, 3.128E+02,100000,315,9
hrrpuv_reac_single.fds,282.417, 2.750E+02,100000,314,8
hrrpuv_reac_parallel.fds,335.696, 3.258E+02,100000,294,11
hrrpuv_reac_parallel_2.fds,356.207, 3.461E+02,100000,294,11
hrrpuv_reac_series.fds,726.022, 7.158E+02,100000,460,15
hrrpuv_reac_soot.fds,12.070, 5.766E+00,400,168,85
hrrpuv_reac_arrhenius.fds,4.314, 4.106E-01,64,80,0
ramp_chi_r.fds,67.001, 6.157E+01,4096,900,16
bound_test_1.fds,0.077, 1.087E-02,16,10,0
bound_test_2.fds,0.058, 1.175E-02,16,10,0
species_props.fds,0.187, 4.908E-02,20,2,0
condensation_1.fds,0.475, 2.208E-01,125,100,0
condensation_2.fds,2.058, 2.025E+00,125,900,18
condensation_3.fds,4.541, 5.093E-01,20,10,0
wall_cond.fds,101.007, 1.010E+02,27,900,4156
humidity.fds,4.397, 5.263E-03,64,3,0
mass_flux_wall_yindex.fds,596.898, 5.925E+02,8000,900,82
mass_flux_wall_zindex.fds,647.943, 6.437E+02,8000,900,89
mass_balance_gas_volume.fds,652.968, 6.487E+02,8000,900,90
mass_balance_reac_2.fds,596.579, 5.862E+02,160,400,9159
activate_sprinklers.fds,46.595, 4.653E+01,2100,900,24
adiabatic_surf_temp_spray.fds,360.116, 3.541E+02,8000,900,49
bucket_test_2.fds,106.918, 9.609E+01,62500,243,6
bucket_test_3.fds,76.105, 6.942E+01,8000,900,9
bucket_test_4.fds,306.311, 3.062E+02,8000,900,42
cannon_ball.fds,4.639, 4.149E-01,9000,5,0
cascade.fds,229.106, 2.287E+02,14336,938,17
droplet_distributions.fds,13.829, 1.334E-01,64,1,0
droplet_distributions_2.fds,286.202, 2.861E+02,64,900,4967
flow_rate.fds,203.414, 2.032E+02,25600,784,10
flow_rate_2.fds,246.351, 2.462E+02,25600,859,11
particle_anisotropic_radi.fds,280.502, 2.749E+02,40,900,7636
particle_isotropic_radi.fds,294.505, 2.888E+02,40,900,8022
particle_colors.fds,80.218, 7.454E+01,2048,900,40
particle_drag_U10_N16.fds,8.058, 7.545E+00,64,900,130
particle_drag_U50_N16.fds,15.944, 1.579E+01,64,900,274
particle_drag_U100_N16.fds,19.484, 1.873E+01,64,900,325
particle_drag_U50_N1600.fds,10.353, 9.715E+00,64,900,168
particle_drag_U100_N1600.fds,20.493, 2.023E+01,64,900,351
particle_drag_U150_N1600.fds,34.457, 3.290E+01,64,900,571
particle_flux.fds,166.939, 1.598E+02,62500,427,5
particle_heating_convection.fds,64.115, 6.275E+01,1000,900,69
particle_heating_radiation.fds,281.305, 2.811E+02,1000,900,312
sphere_drag_1.fds,251.336, 2.505E+02,120,552,3781
sphere_drag_2.fds,135.008, 1.294E+02,10000,627,20
terminal_velocity_dt_1_0.fds,0.298, 2.827E-02,160,20,0
terminal_velocity_dt_0_1.fds,0.297, 1.677E-01,160,200,0
terminal_velocity_dt_0_01.fds,2.171, 2.054E+00,160,900,14
terminal_velocity_dt_0_001.fds,15.742, 1.561E+01,160,900,108
terminal_velocity_dt_0_0001.fds,153.574, 1.527E+02,160,900,1060
flat_fire.fds,0.575, 4.941E-01,5000,33,0
fluid_part_mom_x.fds,4.913, 4.856E+00,640,251,30
fluid_part_mom_y.fds,2.322, 2.250E+00,640,251,14
fluid_part_mom_z.fds,2.491, 2.429E+00,640,251,15
water_evaporation_1.fds,24.949, 2.469E+01,1000,900,27
water_evaporation_2.fds,225.370, 2.253E+02,64,900,3911
water_evaporation_3.fds,533.953, 5.337E+02,1000,900,593
water_evaporation_4.fds,64.621, 6.454E+01,3000,556,38
water_evaporation_4_np100.fds,29.914, 2.983E+01,3000,565,17
water_evaporation_5.fds,49.494, 4.838E+01,64,900,839
water_evaporation_6.fds,629.602, 6.294E+02,1000,900,699
water_evaporation_6a.fds,130.257, 1.300E+02,1000,900,144
water_evaporation_7.fds,2558.673, 2.549E+03,6000,900,472
water_evaporation_8.fds,119.302, 1.192E+02,3630,900,36
water_fuel_sprays.fds,2819.372, 2.805E+03,25000,900,124
screen_drag_1.fds,151.529, 1.511E+02,60,900,2798
screen_drag_2.fds,413.049, 4.125E+02,60,900,7638
porous_media.fds,1811.080, 1.805E+03,72,900,27854
water_evap_1_const_gamma.fds,27.424, 2.677E+01,1000,900,29
pulsating_FL0_16.fds,1.405, 1.131E+00,256,125,35
pulsating_FL0_32.fds,6.999, 6.905E+00,1024,234,28
pulsating_FL0_64.fds,50.698, 5.049E+01,4096,458,26
pulsating_FL0_128.fds,544.464, 5.431E+02,16384,911,36
pulsating_FL2_16.fds,1.183, 1.133E+00,256,125,35
pulsating_FL2_32.fds,6.818, 6.740E+00,1024,234,28
pulsating_FL2_64.fds,61.135, 6.087E+01,4096,458,32
pulsating_FL2_128.fds,523.444, 5.223E+02,16384,911,34
pulsating_FL4_16.fds,1.276, 1.218E+00,256,125,38
pulsating_FL4_32.fds,7.209, 6.975E+00,1024,234,29
pulsating_FL4_64.fds,59.432, 5.909E+01,4096,458,31
pulsating_FL4_128.fds,501.686, 5.004E+02,16384,911,33
compression_wave_FL0_16.fds,7.157, 6.993E+00,256,539,50
compression_wave_FL0_32.fds,51.710, 5.146E+01,1024,900,55
compression_wave_FL0_64.fds,387.847, 3.876E+02,4096,900,105
compression_wave_FL0_128.fds,1766.360, 1.765E+03,16384,900,119
compression_wave_FL2_16.fds,16.221, 1.474E+01,256,944,60
compression_wave_FL2_32.fds,51.999, 5.189E+01,1024,900,56
compression_wave_FL2_64.fds,422.287, 4.220E+02,4096,900,114
compression_wave_FL2_128.fds,1847.915, 1.846E+03,16384,900,125
compression_wave_FL4_16.fds,14.786, 1.473E+01,256,944,60
compression_wave_FL4_32.fds,51.476, 5.138E+01,1024,900,55
compression_wave_FL4_64.fds,373.023, 3.728E+02,4096,900,101
compression_wave_FL4_128.fds,1965.626, 1.965E+03,16384,900,133
compression_wave_FL5_16.fds,15.155, 1.511E+01,256,944,62
compression_wave_FL5_32.fds,45.175, 4.508E+01,1024,900,48
compression_wave_FL5_64.fds,402.212, 4.019E+02,4096,900,109
compression_wave_FL5_128.fds,1931.301, 1.930E+03,16384,900,130
move_slug.fds,210.742, 2.105E+02,160,678,1940
move_slug_fl1.fds,226.035, 2.257E+02,160,678,2080
shunn3_32.fds,4.983, 4.873E+00,1024,58,82
shunn3_64.fds,31.266, 3.104E+01,4096,99,76
shunn3_128.fds,191.707, 1.912E+02,16384,186,62
shunn3_256.fds,1100.565, 1.096E+03,65536,363,46
shunn3_512.fds,5350.266, 5.339E+03,262144,727,28
shunn3_256_cfl_1.fds,10.704, 7.600E+00,65536,2,57
shunn3_256_cfl_p5.fds,20.560, 1.841E+01,65536,4,70
shunn3_256_cfl_p25.fds,40.898, 3.665E+01,65536,8,69
shunn3_256_cfl_p125.fds,61.522, 5.737E+01,65536,16,54
shunn3_256_cfl_p0625.fds,120.933, 1.165E+02,65536,32,55
saad_512_cfl_1.fds,11.288, 1.113E+01,2048,100,54
saad_512_cfl_p5.fds,24.814, 2.469E+01,2048,200,60
saad_512_cfl_p25.fds,61.009, 6.087E+01,2048,400,74
saad_512_cfl_p125.fds,105.187, 1.048E+02,2048,800,63
saad_512_cfl_p0625.fds,203.029, 2.026E+02,2048,900,109
shunn3_FavreZ_32.fds,50.217, 4.988E+01,1024,545,89
shunn3_FavreZ_64.fds,242.287, 2.419E+02,4096,976,60
soborot_godunov_square_wave_16.fds,0.328, 2.612E-01,256,109,0
soborot_godunov_square_wave_32.fds,3.635, 3.566E+00,1024,220,15
soborot_godunov_square_wave_64.fds,29.133, 2.899E+01,4096,444,15
soborot_superbee_square_wave_16.fds,0.202, 1.564E-01,256,55,0
soborot_superbee_square_wave_32.fds,1.117, 1.040E+00,1024,111,9
soborot_superbee_square_wave_64.fds,20.088, 1.992E+01,4096,223,21
soborot_superbee_square_wave_128_1mesh.fds,95.004, 9.437E+01,16384,447,12
soborot_charm_square_wave_16.fds,0.438, 1.609E-01,256,55,0
soborot_charm_square_wave_32.fds,1.089, 9.121E-01,1024,111,0
soborot_charm_square_wave_64.fds,15.607, 1.536E+01,4096,223,16
soborot_charm_cos_wave_16.fds,0.485, 1.610E-01,256,55,0
soborot_charm_cos_wave_32.fds,1.513, 1.160E+00,1024,111,10
soborot_charm_cos_wave_64.fds,14.090, 1.391E+01,4096,223,15
soborot_superbee_cos_wave_16.fds,0.237, 1.657E-01,256,55,0
soborot_superbee_cos_wave_32.fds,1.055, 9.543E-01,1024,111,0
soborot_superbee_cos_wave_64.fds,16.135, 1.599E+01,4096,223,17
soborot_mp5_cos_wave_16.fds,0.213, 1.630E-01,256,55,0
soborot_mp5_cos_wave_32.fds,1.383, 1.256E+00,1024,111,11
soborot_mp5_cos_wave_64.fds,15.232, 1.503E+01,4096,223,16
race_test_1.fds,337.760, 3.290E+02,84,932,4202
race_test_4.fds,240.021, 2.324E+02,84,932,2968
openmp_test64a.fds,1304.092, 1.293E+03,262144,900,5
openmp_test64b.fds,1144.487, 1.133E+03,262144,900,4
openmp_test64c.fds,812.685, 8.039E+02,262144,900,3
openmp_test64d.fds,713.515, 7.053E+02,262144,900,2
openmp_test64e.fds,701.197, 6.934E+02,262144,900,2
openmp_test64f.fds,718.853, 7.100E+02,262144,900,3
openmp_test64g.fds,649.493, 6.417E+02,262144,900,2
openmp_test64h.fds,607.348, 5.996E+02,262144,900,2
openmp_test128a.fds,648.192, 5.877E+02,2097152,81,3
openmp_test128b.fds,552.215, 5.013E+02,2097152,81,2
openmp_test128c.fds,395.952, 3.579E+02,2097152,81,2
openmp_test128d.fds,334.175, 3.000E+02,2097152,81,1
openmp_test128e.fds,336.691, 3.053E+02,2097152,81,1
openmp_test128f.fds,335.235, 3.014E+02,2097152,81,1
openmp_test128g.fds,300.681, 2.709E+02,2097152,81,1
openmp_test128h.fds,273.465, 2.453E+02,2097152,81,1
csmag0_32.fds,16.960, 1.646E+01,32768,46,10
csmag_32.fds,11.372, 9.311E+00,32768,28,10
csmag_64.fds,108.050, 1.037E+02,262144,58,6
dsmag_32.fds,15.528, 1.506E+01,32768,32,14
dsmag_64.fds,141.789, 1.368E+02,262144,63,8
mu0_32.fds,237.829, 2.372E+02,32768,670,10
deardorff_32.fds,10.063, 8.242E+00,32768,31,8
deardorff_64.fds,117.575, 1.136E+02,262144,63,6
vreman_32.fds,13.274, 1.282E+01,32768,32,12
vreman_64.fds,121.010, 1.153E+02,262144,65,6
wale_32.fds,17.485, 1.705E+01,32768,47,11
wale_64.fds,182.550, 1.773E+02,262144,95,7
yplus_8.fds,22.375, 2.233E+01,64,900,387
yplus_16.fds,62.105, 6.206E+01,128,900,538
yplus_32.fds,292.445, 2.924E+02,256,900,1269
sem_flat_leddy_p2.fds,988.552, 9.883E+02,35937,900,30
sem_par_leddy_p2.fds,664.167, 6.639E+02,35937,900,20
sem_atm_leddy_p2.fds,1128.791, 1.123E+03,35937,900,34
sem_ramp_leddy_p2.fds,555.916, 5.556E+02,35937,900,17
sem_open_wind.fds,1490.107, 1.490E+03,99840,900,16
ramp_prof_u_z.fds,2684.048, 2.679E+03,24000,900,124
Bova_1a.fds,24.817, 2.454E+01,40000,465,1
Bova_1b.fds,35.832, 3.558E+01,40000,697,1
Bova_4a.fds,50.090, 4.981E+01,40000,929,1
bulk_density_file.fds,8.482, 1.159E+00,75000,1,15
char_oxidation_1.fds,150.167, 1.435E+02,4500,900,35
dragon_5a.fds,2191.848, 2.186E+03,12000,900,202
hot_rods.fds,883.893, 8.783E+02,1000,900,975
level_set_fuel_model_1.fds,613.041, 6.065E+02,25600,900,26
LS_ellipse_0ms_00deg.fds,5.847, 5.744E+00,12500,392,1
LS_ellipse_5ms_00deg.fds,37.240, 3.710E+01,12500,900,3
LS_ellipse_0ms_30deg.fds,20.008, 1.427E+01,12500,575,1
LS_ellipse_5ms_30deg.fds,36.595, 3.094E+01,12500,900,2
pine_needles.fds,25.478, 2.218E+01,1000,900,24
radiation_gas-veg_consistency_gas.fds,20.569, 2.027E+01,5760,389,9
radiation_gas-veg_consistency_veg.fds,57.550, 5.698E+01,5760,389,25
random_walk_1.fds,200.145, 2.000E+02,2000,119,840
random_walk_2.fds,142.380, 1.423E+02,2000,119,597
vegetation_drag_1.fds,80.879, 8.017E+01,120,315,2120
vegetation_drag_2.fds,126.186, 1.255E+02,120,443,2360
3b1d1ef63
197660.264
