FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
create_remove.fds,94.649, 9.085E+01,40,700,3244
cycle_test.fds,19.654, 1.588E+01,40,126,3150
device_test.fds,752.111, 7.368E+02,60,900,13644
hrr_freeze.fds,226.731, 2.161E+02,8000,900,30
rms_cov_corr.fds,565.472, 5.641E+02,1000,900,626
rms_example.fds,9.912, 1.321E+00,27,900,54
aspiration_detector.fds,14.135, 9.448E+00,1000,900,10
smoke_detector.fds,13.347, 4.814E+00,125,314,122
energy_budget_adiabatic_walls.fds,2240.435, 2.235E+03,32000,900,77
energy_budget_adiabatic_two_fuels.fds,384.361, 3.797E+02,4000,900,105
energy_budget_cold_walls.fds,2548.625, 2.536E+03,32000,900,88
energy_budget_combustion.fds,340.653, 3.312E+02,8000,999,41
energy_budget_dns_100.fds,3083.492, 3.079E+03,2500,900,1368
energy_budget_particles.fds,235.855, 2.315E+02,1000,900,257
energy_budget_solid.fds,591.313, 5.912E+02,1000,900,656
energy_budget_tmix.fds,31.060, 3.099E+01,121,900,284
test_hrr_2d_cyl.fds,55.821, 5.063E+01,800,900,70
test_hrr_3d.fds,666.013, 6.562E+02,64000,804,12
extinction_1.fds,8.625, 5.506E+00,,0,0
extinction_2.fds,9.509, 5.934E+00,,0,0
box_burn_away2.fds,105.522, 1.014E+02,1000,900,112
box_burn_away3.fds,41.080, 3.600E+01,1000,607,59
box_burn_away4.fds,49.377, 4.404E+01,1000,600,73
box_burn_away5.fds,matches, 1.516E+02,0,Binary file box_burn_away5.out matches,
box_burn_away6.fds,180.449, 1.750E+02,1000,900,194
box_burn_away7.fds,89.931, 8.094E+01,1000,900,89
box_burn_away8.fds,35.819, 3.153E+01,1000,600,52
box_burn_away_2D.fds,44.628, 3.940E+01,100,900,437
box_burn_away_2D_residue.fds,40.805, 3.557E+01,100,900,395
fire_const_gamma.fds,450.962, 4.508E+02,8192,900,61
spray_burner.fds,2949.773, 2.940E+03,24000,900,136
HoC_Ideal.fds,9.537, 1.680E+00,1000,147,11
HoC_NonIdeal.fds,9.718, 1.235E+00,1000,150,8
simple_test.fds,1660.307, 1.654E+03,20736,900,88
tmp_lower_limit_simple.fds,24.321, 2.421E+01,2000,180,67
tmp_lower_limit_default.fds,289.928, 2.852E+02,8000,437,81
tmp_lower_limit_dt_p001.fds,531.328, 5.262E+02,8000,900,73
tunnel_const_gamma.fds,55.469, 5.536E+01,400,900,153
tunnel_linear_cp.fds,51.444, 5.132E+01,400,900,142
divergence_test_1.fds,56.539, 5.124E+01,8000,379,16
divergence_test_2.fds,5.651, 6.494E-01,81,57,0
cyl_test_1.fds,69.814, 6.478E+01,2400,630,42
cyl_test_2.fds,71.174, 6.617E+01,2400,630,43
cyl_test_3.fds,2877.911, 2.867E+03,5000,900,637
cyl_test_4.fds,3045.012, 3.035E+03,5000,900,674
