FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
plate_view_factor_2D_30.fds,3.803, 1.826E-01,200,100,0
plate_view_factor_2D_60.fds,3.637, 2.173E-01,200,100,0
plate_view_factor_2D_100.fds,3.898, 5.106E-01,200,100,0
plate_view_factor_cart_30.fds,4.949, 1.801E-01,4000,10,0
plate_view_factor_cart_60.fds,5.220, 3.886E-01,4000,10,0
plate_view_factor_cart_100.fds,5.144, 3.876E-01,4000,10,0
plate_view_factor_cyl_30.fds,5.738, 1.407E+00,100,900,15
plate_view_factor_cyl_60.fds,6.134, 1.304E+00,100,900,14
plate_view_factor_cyl_100.fds,6.049, 1.550E+00,100,900,17
plate_view_factor_ibm_30.fds,229.924, 6.981E+01,1000000,10,6
plate_view_factor_ibm_60.fds,315.380, 1.005E+02,1000000,10,10
plate_view_factor_ibm_100.fds,330.286, 1.150E+02,1000000,10,11
radiating_polygon_square_20.fds,3.755, 2.351E-01,11520,1,0
radiating_polygon_square_40.fds,9.527, 6.041E+00,92160,1,65
radiating_polygon_square_80.fds,134.364, 1.242E+02,737280,1,168
radiation_box_100_1000.fds,167.393, 1.580E+02,1000000,1,158
radiation_box_100__100.fds,69.166, 1.672E+01,1000000,1,16
radiation_box_100_2000.fds,300.241, 2.906E+02,1000000,1,290
radiation_box_100__300.fds,174.866, 4.416E+01,1000000,1,44
radiation_box_100___50.fds,44.052, 1.120E+01,1000000,1,11
radiation_box__20_1000.fds,9.816, 1.064E+00,8000,1,133
radiation_box__20__100.fds,3.611, 9.708E-02,8000,1,0
radiation_box__20_2000.fds,13.428, 2.016E+00,8000,1,252
radiation_box__20__300.fds,4.633, 3.798E-01,8000,1,0
radiation_box__20___50.fds,4.246, 7.511E-02,8000,1,0
radiation_plane_layer_1_1.fds,4.291, 1.270E-01,8000,1,0
radiation_plane_layer_1_2.fds,10.828, 5.724E-01,8000,1,0
radiation_plane_layer_1_3.fds,4.128, 9.425E-03,400,1,0
radiation_plane_layer_1_4.fds,11.128, 2.467E-02,400,1,0
radiation_plane_layer_1_5.fds,13.466, 1.477E+00,60000,1,24
radiation_plane_layer_2_1.fds,3.872, 8.863E-02,8000,1,0
radiation_plane_layer_2_2.fds,14.850, 5.576E-01,8000,1,0
radiation_plane_layer_2_3.fds,3.832, 1.040E-02,400,1,0
radiation_plane_layer_2_4.fds,9.887, 4.072E-02,400,1,0
radiation_plane_layer_2_5.fds,14.178, 1.760E+00,60000,1,29
radiation_plane_layer_3_1.fds,4.617, 1.298E-01,8000,1,0
radiation_plane_layer_3_2.fds,15.044, 6.633E-01,8000,1,0
radiation_plane_layer_3_3.fds,4.501, 7.759E-03,400,1,0
radiation_plane_layer_3_4.fds,13.898, 2.370E-02,400,1,0
radiation_plane_layer_3_5.fds,10.558, 2.067E+00,60000,1,34
radiation_plane_layer_4_1.fds,4.750, 1.504E-01,8000,1,0
radiation_plane_layer_4_2.fds,12.394, 5.316E-01,8000,1,0
radiation_plane_layer_4_3.fds,3.668, 9.343E-03,400,1,0
radiation_plane_layer_4_4.fds,14.789, 2.559E-02,400,1,0
radiation_plane_layer_4_5.fds,8.089, 1.269E+00,60000,1,21
radiation_plane_layer_5_1.fds,3.784, 1.490E-01,8000,1,0
radiation_plane_layer_5_2.fds,15.409, 6.439E-01,8000,1,0
radiation_plane_layer_5_3.fds,3.726, 1.392E-02,400,1,0
radiation_plane_layer_5_4.fds,9.482, 2.116E-02,400,1,0
radiation_plane_layer_5_5.fds,8.901, 1.318E+00,60000,1,21
radiation_plane_layer_6_1.fds,3.573, 9.481E-02,8000,1,0
radiation_plane_layer_6_2.fds,10.366, 4.529E-01,8000,1,0
radiation_plane_layer_6_3.fds,3.320, 7.348E-03,400,1,0
radiation_plane_layer_6_4.fds,13.939, 2.712E-02,400,1,0
radiation_plane_layer_6_5.fds,10.310, 1.267E+00,60000,1,21
radiation_shield.fds,194.026, 1.905E+02,1000,900,211
target_test.fds,48.615, 4.142E+01,50,80,10355
thermocouples.fds,75.573, 7.166E+01,8000,900,9
TC_heating.fds,239.176, 2.333E+02,8000,900,32
TC_view_factor.fds,235.746, 2.322E+02,8000,900,32
wall_internal_radiation.fds,3.508, 1.857E-03,60,1,0
restart_test1a.fds,164.974
55.886, 5.035E+01,8192,762,8
pyro3d_restart_base_case.fds,39.900, 3.982E+01,192,900,230
geom_restart_base_case.fds,399.308, 3.956E+02,1000,900,439
burke_schumann.fds,0.340, 1.010E-01,60,2,0
FED_FIC.fds,18.474, 1.268E+01,500,900,28
FED_FIC_SMIX.fds,10.029, 5.773E+00,500,900,12
FED_CO_HCN.fds,13.589, 2.436E+00,125,900,21
mass_flux_comparison.fds,1471.309, 1.462E+03,40000,900,40
methane_flame_simple.fds,80.008, 7.490E+01,2000,900,41
methane_flame_simple_2.fds,79.020, 7.388E+01,2000,900,41
methane_flame_primitive.fds,95.744, 9.148E+01,2000,900,50
methane_flame_primitive_2.fds,93.891, 8.992E+01,2000,900,49
methane_flame_lumped.fds,119.855, 1.145E+02,2000,900,63
methane_flame_lumped_fuel.fds,94.825, 9.032E+01,2000,900,50
methane_flame_lumped_ox.fds,79.764, 7.617E+01,2000,900,42
propane_flame_2reac.fds,380.831, 3.712E+02,32640,463,24
propane_flame_2reac_simple.fds,339.916, 3.301E+02,32640,463,21
reactionrate_arrhenius_0order_1step.fds,3.968, 3.805E-01,64,200,0
reactionrate_arrhenius_2order_1step.fds,7.280, 9.077E-01,512,80,0
reactionrate_arrhenius_1p75order_2step.fds,7.985, 2.160E+00,512,160,26
reactionrate_arrhenius_1p75order_2stepr.fds,8.698, 4.485E+00,512,160,54
reactionrate_arrhenius_equilibrium.fds,34.962, 3.482E+01,16,900,2418
reactionrate_EDC_1step_CH4_nonmix.fds,13.908, 1.082E+01,100,900,120
reactionrate_EDC_flim_1step_C3H8.fds,2.839, 1.206E+00,512,200,11
reactionrate_EDC_flim_1step_CH4.fds,2.532, 1.256E+00,512,200,12
reactionrate_EDC_flim_2step.fds,4.577, 9.224E-02,16,100,0
reactionrate_EDC_O2lim_1step.fds,3.904, 1.458E-01,512,20,0
reactionrate_EDC_O2lim_2fuel_prim.fds,4.561, 9.940E-02,16,100,0
reactionrate_EDC_O2lim_2fuel_lump.fds,9.982, 1.559E-01,16,100,0
reactionrate_fast_slow.fds,334.714, 3.300E+02,8000,999,41
reactionrate_lumped_two_air.fds,4.058, 8.321E-02,16,100,0
reactionrate_lumped_two_air_2.fds,4.094, 8.275E-02,16,100,0
reactionrate_series_reaction.fds,4.176, 2.900E-03,16,2,0
pvc_combustion.fds,4.364, 1.504E-01,16,200,0
hrrpuv_reac_simple.fds,468.743, 4.583E+02,100000,298,15
hrrpuv_reac_extinction.fds,460.416, 4.519E+02,100000,296,15
hrrpuv_reac_single.fds,390.376, 3.815E+02,100000,310,12
hrrpuv_reac_parallel.fds,420.726, 4.120E+02,100000,290,14
hrrpuv_reac_parallel_2.fds,419.087, 4.104E+02,100000,290,14
hrrpuv_reac_series.fds,703.543, 6.947E+02,100000,371,18
hrrpuv_reac_soot.fds,14.869, 9.715E+00,400,166,146
hrrpuv_reac_arrhenius.fds,4.534, 4.550E-01,64,80,0
ramp_chi_r.fds,94.404, 8.485E+01,4096,900,23
bound_test_1.fds,0.086, 7.212E-03,16,10,0
bound_test_2.fds,0.097, 1.018E-02,16,10,0
species_props.fds,0.115, 3.828E-02,20,2,0
condensation_1.fds,0.266, 2.058E-01,125,100,0
condensation_2.fds,3.111, 1.911E+00,125,900,16
condensation_3.fds,9.448, 4.423E+00,20,10,22115
wall_cond.fds,125.222, 1.250E+02,27,900,5144
humidity.fds,3.498, 7.068E-03,64,3,0
mass_flux_wall_yindex.fds,1001.379, 9.982E+02,8000,900,138
mass_flux_wall_zindex.fds,989.391, 9.861E+02,8000,900,136
mass_balance_gas_volume.fds,1271.154, 1.267E+03,8000,900,175
mass_balance_reac_2.fds,1015.299, 1.001E+03,160,399,15679
activate_sprinklers.fds,94.942, 9.466E+01,2100,900,50
adiabatic_surf_temp_spray.fds,479.434, 4.706E+02,8000,900,65
bucket_test_2.fds,124.601, 1.110E+02,62500,266,6
bucket_test_3.fds,43.973, 3.553E+01,8000,900,4
bucket_test_4.fds,420.257, 4.178E+02,8000,900,58
cannon_ball.fds,3.679, 3.166E-01,9000,5,0
cascade.fds,738.603, 7.343E+02,14336,947,54
droplet_distributions.fds,158.727, 1.636E-01,64,1,0
droplet_distributions_2.fds,578.137, 5.780E+02,64,900,10034
flow_rate.fds,354.956, 3.547E+02,25600,797,17
flow_rate_2.fds,531.199, 5.310E+02,25600,869,23
particle_anisotropic_radi.fds,454.380, 4.514E+02,40,900,12538
particle_isotropic_radi.fds,451.311, 4.475E+02,40,900,12430
particle_colors.fds,104.560, 9.571E+01,2048,900,51
particle_drag_U10_N16.fds,12.869, 6.385E+00,64,900,110
particle_drag_U50_N16.fds,21.925, 1.711E+01,64,900,297
particle_drag_U100_N16.fds,21.873, 1.725E+01,64,900,299
particle_drag_U50_N1600.fds,14.313, 1.064E+01,64,900,184
particle_drag_U100_N1600.fds,23.183, 1.753E+01,64,900,304
particle_drag_U150_N1600.fds,42.345, 3.942E+01,64,900,684
particle_flux.fds,254.333, 2.447E+02,62500,508,7
particle_heating_convection.fds,67.775, 6.403E+01,1000,900,71
